course_id,course_title,subject_area,year,author,total_num_of_pages,language,summary,number_of_hits,format
TL0034,Ung dung IoT nang cao,Dien tu,2000,Nguyen Thi Tuyet,384,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,794,PDF
TL0035,Van hoa doanh nghiep nang cao,Kinh te,2000,Nguyen Van Anh,202,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,633,Paperback
TL0036,Bao mat mang va an ninh co ban,An toan thong tin,2000,Tran Thi Bao,224,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,170,PDF
TL0037,Bao mat mang va an ninh nang cao,An toan thong tin,2001,Tran Thi Bao,426,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,103,Ebook
TL0038,Toi da he thong thong tin the nao?,He thong thong tin,2001,Nguyen Thi Tuyet,407,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,417,PDF
TL0039,Van hoa doanh nghiep phong phu cuc,Kinh te,2000,Bui Van Minh,327,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,616,Paperback
TL0040,Cach hacker hoat dong,An toan thong tin,2000,Tran Thi Bao,488,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,403,Ebook
TL0041,Virus la gi?,An toan thong tin,2000,Hoang Van Chi,460,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,148,Ebook
TL0042,Phong tranh virus,An toan thong tin,2000,Pham Hoang Long,372,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,317,PDF
TL0043,Van hoa doanh nghiep 2,Kinh te,2001,Nguyen Van Anh,272,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,784,PDF
TL0044,An toan thong tin 2,An toan thong tin,2001,Tran Thi Bao,55,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,454,PDF
TL0045,Thiet ke vi mach 2,Dien tu,2001,Nguyen Thi Tuyet,166,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,569,Ebook
TL0046,Lap trinh web nang cao 1,Cong nghe phan mem,2000,Hoang Van Chi,210,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,188,PDF
TL0047,Quan tri nhan luc 1,Quan tri kinh doanh,2000,Hoang Van Chi,349,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,254,PDF
TL0048,Thiet ke giao dien UI/UX 3,Cong nghe phan mem,2002,Tran Thi Bao,337,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,453,PDF
TL0049,He thong phan tan 2,An toan thong tin,2001,Hoang Van Chi,136,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,488,Paperback
TL0050,An toan thong tin 1,He thong thong tin,2000,Nguyen Van Anh,385,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,416,Ebook
TL0051,Bao mat mang va an ninh 3,An toan thong tin,2002,Tran Thi Bao,445,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,311,PDF
TL0052,Marketing ky thuat so 1,Kinh te,2000,Bui Van Minh,165,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,996,PDF
TL0053,Khoa hoc du lieu voi Python 1,Tri tue nhan tao,2000,Bui Van Minh,84,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,580,PDF
TL0054,Marketing ky thuat so 3,Quan tri kinh doanh,2002,Tran Thi Bao,54,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,934,Ebook
TL0055,Ky thuat mang 1,Dien tu,2000,Tran Minh Duc,325,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,171,Paperback
TL0056,Bao mat mang va an ninh 1,He thong thong tin,2000,Nguyen Thi Tuyet,87,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,596,Paperback
TL0057,Quan ly chuoi cung ung 1,He thong thong tin,2000,Nguyen Thi Tuyet,474,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,258,Ebook
TL0060,An toan thong tin 3,An toan thong tin,2002,Tran Thi Bao,302,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,392,Ebook
TL0061,Ung dung IoT 2,Dien tu,2001,Nguyen Thi Tuyet,281,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,554,Ebook
TL0062,Ung dung vi dieu khien 1,Dien tu,2000,Tran Minh Duc,460,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,1000,Ebook
TL0063,Thiet ke vi mach 1,Dien tu,2000,Pham Hoang Long,368,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,211,PDF
TL0065,Kinh te so 1,Kinh te,2000,Tran Minh Duc,321,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,324,Paperback
TL0067,Phat trien ung dung di dong 2,Cong nghe phan mem,2001,Nguyen Van Anh,477,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,689,Ebook
TL0068,Quan tri kinh doanh 1,Kinh te,2000,Bui Van Minh,213,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,325,PDF
TL0069,He thong phan tan 1,An toan thong tin,2000,Pham Hoang Long,440,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,443,Paperback
TL0073,Ung dung IoT 1,An toan thong tin,2000,Hoang Van Chi,191,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,666,Paperback
TL0074,Quan ly chuoi cung ung 2,He thong thong tin,2001,Nguyen Van Anh,73,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,566,Ebook
TL0078,Thiet ke thuat toan 3,Tri tue nhan tao,2002,Pham Hoang Long,162,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,232,PDF
TL0081,Bao mat mang va an ninh 2,He thong thong tin,2001,Nguyen Thi Tuyet,193,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,319,Paperback
TL0083,Lap trinh Python 2,Cong nghe phan mem,2001,Tran Thi Bao,189,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,862,Ebook
TL0089,He thong thong tin 3,He thong thong tin,2002,Nguyen Thi Tuyet,250,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,655,Ebook
TL0090,Van hoa doanh nghiep 1,Quan tri kinh doanh,2000,Nguyen Thi Tuyet,349,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,531,Ebook
TL0092,Khoa hoc du lieu voi Python 2,Tri tue nhan tao,2001,Le Thi Dao,118,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,687,PDF
TL0094,Lap trinh Python 3,Cong nghe phan mem,2002,Tran Thi Bao,73,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,921,Paperback
TL0095,Thiet ke thuat toan 4,Tri tue nhan tao,2003,Bui Van Minh,277,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,806,Ebook
TL0097,Quan tri nhan luc 2,Kinh te,2001,Nguyen Van Anh,121,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,573,Paperback
TL0098,An toan thong tin 4,An toan thong tin,2003,Tran Thi Bao,464,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,445,PDF
TL0102,Marketing ky thuat so 2,Kinh te,2001,Tran Minh Duc,406,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,736,Paperback
TL0105,Van hoa doanh nghiep 3,Quan tri kinh doanh,2002,Tran Thi Bao,74,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,193,Paperback
TL0109,Bao mat mang va an ninh 4,An toan thong tin,2003,Tran Thi Bao,449,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,422,PDF
TL0111,Ky thuat mang 2,An toan thong tin,2001,Pham Hoang Long,289,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,970,Ebook
TL0113,Quan tri kinh doanh 2,Kinh te,2001,Tran Minh Duc,341,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,793,PDF
TL0114,Kinh te so 2,Kinh te,2001,Tran Minh Duc,331,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,422,Paperback
TL0115,Quan tri nhan luc 3,Kinh te,2002,Nguyen Van Anh,70,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,156,PDF
TL0116,Hoc may 2,Tri tue nhan tao,2001,Le Thi Dao,83,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,904,Paperback
TL0123,Tri tue nhan tao 1,Tri tue nhan tao,2000,Bui Van Minh,79,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,220,Ebook
TL0130,Thiet ke thuat toan 5,Tri tue nhan tao,2004,Pham Hoang Long,216,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,732,PDF
TL0132,Ung dung vi dieu khien 2,Dien tu,2001,Tran Minh Duc,201,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,987,PDF
TL0133,Ung dung IoT 3,Dien tu,2002,Nguyen Thi Tuyet,313,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,773,PDF
TL0134,Kinh te so 3,Kinh te,2002,Tran Minh Duc,78,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,261,Paperback
TL0137,Phat trien ung dung di dong 3,Cong nghe phan mem,2002,Tran Thi Bao,331,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,128,Ebook
TL0141,Ky thuat mang 3,An toan thong tin,2002,Pham Hoang Long,411,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,567,Ebook
TL0142,He thong thong tin 1,He thong thong tin,2000,Tran Minh Duc,298,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,978,Paperback
TL0143,Quan tri nhan luc 4,Kinh te,2003,Nguyen Van Anh,283,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,273,PDF
TL0154,Marketing ky thuat so 4,Quan tri kinh doanh,2003,Tran Thi Bao,181,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,174,Paperback
TL0163,Thiet ke thuat toan 6,Tri tue nhan tao,2005,Bui Van Minh,430,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,622,Paperback
TL0165,He thong phan tan 3,Tri tue nhan tao,2002,Le Thi Dao,375,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,353,Paperback
TL0169,He thong thong tin 4,He thong thong tin,2003,Nguyen Thi Tuyet,250,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,800,Paperback
TL0174,Ky thuat mang 4,An toan thong tin,2003,Pham Hoang Long,60,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,796,Paperback
TL0176,Lap trinh web nang cao 2,Cong nghe phan mem,2001,Tran Thi Bao,351,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,126,Ebook
TL0179,Tri tue nhan tao 2,Tri tue nhan tao,2001,Bui Van Minh,473,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,994,PDF
TL0183,Ung dung IoT 4,Dien tu,2003,Nguyen Thi Tuyet,440,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,646,PDF
TL0187,Phat trien ung dung di dong 4,Cong nghe phan mem,2003,Nguyen Van Anh,445,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,705,PDF
TL0189,Quan tri kinh doanh 3,Kinh te,2002,Tran Minh Duc,65,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,128,Ebook
TL0190,Quan ly chuoi cung ung 3,He thong thong tin,2002,Nguyen Van Anh,79,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,902,Paperback
TL0191,He thong thong tin 2,He thong thong tin,2001,Nguyen Van Anh,97,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,714,Ebook
TL0198,Ky thuat mang 5,An toan thong tin,2004,Pham Hoang Long,190,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,781,Ebook
TL0199,Hoc may 3,Tri tue nhan tao,2002,Le Thi Dao,471,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,909,Ebook
TL0202,Thiet ke thuat toan 7,Tri tue nhan tao,2006,Bui Van Minh,371,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,896,PDF
TL0205,Phat trien ung dung di dong 5,Cong nghe phan mem,2004,Nguyen Van Anh,236,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,850,Ebook
TL0206,An toan thong tin 5,An toan thong tin,2004,Tran Thi Bao,466,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,868,PDF
TL0208,Khoa hoc du lieu voi Python 3,Tri tue nhan tao,2002,Le Thi Dao,406,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,272,PDF
TL0210,Quan ly chuoi cung ung 4,He thong thong tin,2003,Nguyen Van Anh,319,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,860,Paperback
TL0212,Quan tri nhan luc 5,Kinh te,2004,Nguyen Van Anh,425,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,632,PDF
TL0217,Thiet ke thuat toan 8,Tri tue nhan tao,2007,Bui Van Minh,261,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,431,PDF
TL0218,He thong phan tan 4,Tri tue nhan tao,2003,Le Thi Dao,170,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,180,Ebook
TL0222,Thiet ke giao dien UI/UX 4,Cong nghe phan mem,2003,Tran Thi Bao,185,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,777,Paperback
TL0224,Lap trinh Python 4,Cong nghe phan mem,2003,Tran Thi Bao,393,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,378,PDF
TL0231,Bao mat mang va an ninh 5,He thong thong tin,2004,Nguyen Van Anh,369,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,176,Ebook
TL0232,Quan tri kinh doanh 4,Kinh te,2003,Tran Minh Duc,110,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,702,Ebook
TL0237,Quan tri nhan luc 6,Kinh te,2005,Nguyen Van Anh,63,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,201,Ebook
TL0249,Quan tri du lieu 1,He thong thong tin,2000,Tran Minh Duc,272,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,407,Ebook
TL0250,Van hoa doanh nghiep 4,Kinh te,2003,Bui Van Minh,498,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,792,Paperback
TL0256,Khoa hoc du lieu voi Python 4,Tri tue nhan tao,2003,Le Thi Dao,376,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,849,Paperback
TL0261,Quan tri kinh doanh 5,Kinh te,2004,Tran Minh Duc,493,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,198,Paperback
TL0265,Lap trinh Python 1,Cong nghe phan mem,2000,Hoang Van Chi,261,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,344,Ebook
TL0266,Ung dung vi dieu khien 3,Dien tu,2002,Pham Hoang Long,438,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,413,PDF
TL0267,Van hoa doanh nghiep 5,Kinh te,2004,Bui Van Minh,257,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,346,PDF
TL0268,He thong phan tan 5,Dien tu,2004,Nguyen Thi Tuyet,274,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,473,Paperback
TL0273,Lap trinh web nang cao 3,Cong nghe phan mem,2002,Nguyen Van Anh,320,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,838,PDF
TL0275,Phat trien ung dung di dong 6,Cong nghe phan mem,2005,Nguyen Van Anh,61,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,942,Ebook
TL0281,Bao mat mang va an ninh 6,He thong thong tin,2005,Nguyen Van Anh,69,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,819,Paperback
TL0282,Lap trinh Python 5,Cong nghe phan mem,2004,Tran Thi Bao,138,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,605,PDF
TL0285,Ung dung IoT 5,Dien tu,2004,Nguyen Thi Tuyet,242,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,230,Ebook
TL0289,Quan tri kinh doanh 6,Kinh te,2005,Tran Minh Duc,442,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,171,Ebook
TL0294,An toan thong tin 6,He thong thong tin,2005,Nguyen Van Anh,151,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,680,PDF
TL0309,Bao mat mang va an ninh 7,He thong thong tin,2006,Nguyen Van Anh,420,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,323,PDF
TL0310,Tri tue nhan tao 3,Tri tue nhan tao,2002,Le Thi Dao,425,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,448,Paperback
TL0311,Phat trien ung dung di dong 7,Cong nghe phan mem,2006,Nguyen Van Anh,340,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,918,Paperback
TL0313,Hoc may 4,Tri tue nhan tao,2003,Le Thi Dao,414,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,653,Ebook
TL0318,Quan tri nhan luc 7,Kinh te,2006,Nguyen Van Anh,437,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,907,Ebook
TL0330,Quan tri kinh doanh 7,Kinh te,2006,Tran Minh Duc,89,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,178,PDF
TL0331,Van hoa doanh nghiep 6,Quan tri kinh doanh,2005,Tran Thi Bao,66,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,469,PDF
TL0337,Van hoa doanh nghiep 7,Kinh te,2006,Bui Van Minh,272,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,929,PDF
TL0346,Marketing ky thuat so 5,Kinh te,2004,Tran Minh Duc,350,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,364,Paperback
TL0348,Thiet ke vi mach 3,Dien tu,2002,Pham Hoang Long,361,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,334,Paperback
TL0351,Ung dung vi dieu khien 4,Dien tu,2003,Pham Hoang Long,482,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,433,PDF
TL0359,Lap trinh web nang cao 4,Cong nghe phan mem,2003,Nguyen Van Anh,403,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,540,Paperback
TL0362,Hoc may 1,Tri tue nhan tao,2000,Bui Van Minh,317,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,339,PDF
TL0365,Ung dung IoT 6,Dien tu,2005,Nguyen Thi Tuyet,75,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,421,Paperback
TL0366,Khoa hoc du lieu voi Python 5,Cong nghe phan mem,2004,Tran Thi Bao,409,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,809,Paperback
TL0367,Hoc may 5,Tri tue nhan tao,2004,Le Thi Dao,169,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,679,Paperback
TL0376,Van hoa doanh nghiep 8,Kinh te,2007,Bui Van Minh,492,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,842,PDF
TL0380,Quan tri kinh doanh 8,Kinh te,2007,Tran Minh Duc,159,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,591,Paperback
TL0382,Phat trien ung dung di dong 8,Cong nghe phan mem,2007,Nguyen Van Anh,95,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,338,Ebook
